49,27,20
95,8,7
92,42,60
25,82,64
82,89,93
71,53,33
4,37,88
78,66,7
13,71,96
22,25,53
2,82,13
80,53,36
31,16,35
51,47,78
28,58,49
84,38,56
84,73,48
64,71,93
25,71,67
83,42,70
26,5,100
76,60,31
55,59,22
57,95,77
61,60,100
50,19,39
66,86,43
7,66,31
20,82,24
4,46,50
81,36,75
55,64,27
30,7,100
49,59,72
78,45,48
10,71,57
4,68,36
57,57,62
65,48,85
63,47,63
45,88,73
22,51,82
73,92,29
14,99,29
49,84,27
19,38,46
42,81,17
66,75,44
99,1,17
96,78,30
34,27,24
7,98,89
78,69,2
73,45,51
90,100,80
50,70,86
40,31,75
61,8,79
55,37,31
28,91,60
39,97,43
47,67,10
3,88,48
78,29,47
13,84,3
85,76,92
11,39,87
84,79,60
47,35,49
42,4,39
59,31,12
55,89,43
6,41,73
73,36,45
43,94,94
9,44,46
94,27,26
34,47,2
69,3,65
27,41,100
91,38,79
16,92,84
76,48,34
7,43,41
23,49,83
38,8,2
36,38,29
61,80,77
17,43,16
64,35,82
9,16,33
16,65,74
34,71,56
50,72,3
22,78,48
100,93,13
43,73,3
6,16,79
63,16,65
64,43,61
77,58,79
21,45,40
16,84,80
64,65,54
55,6,49
63,26,42
30,94,35
18,48,76
